STA-LIYW7O-C-002,COMM TO RE-ELECT JUDGE TRIPP HELMS,Closed (Pending),,
STA-2EQCTR-C-001,COMM TO ELECT TABATHA HOLLIDAY,Closed,,
STA-CZ7JGN-C-001,HOLLO FOR HOUSE,Closed,,
STA-Z3136P-C-001,NEAL HUNT FOR NC SENATE,Closed,,
STA-5D6447-C-001,JEFF HYDE COMM,Closed,,
STA-P148FF-C-001,COMM TO ELECT JENKINS FOR NC HOUSE,Conditionally Closed,,
STA-6D5K2U-C-001,ED JONES FOR NC SENATE COMM,Closed,,
STA-IH1J50-C-001,KEN JONES FOR NC SENATE,Conditionally Closed,,
STA-F9382G-C-002,JORDAN FOR JUDGE COMM,Conditionally Closed,,
STA-ZRT78G-C-001,COMM TO ELECT TOM KEIGHER,Closed (Pending),,
STA-C2477N-C-001,COMM TO ELECT KINCAID JUDGE,Closed,,
STA-041DV7-C-001,COMM TO ELECT ABBIE LANE,Active (Non-Exempt),,
STA-4334Y0-C-001,LARKINS FOR NC HOUSE,Closed,,
STA-C1714N-C-001,COMM TO ELECT STEPHEN LAROQUE,Closed,,
STA-4IOUIQ-C-001,LEUTZE FOR SENATE,Conditionally Closed,,
STA-C2799N-C-001,HUGH LEWIS ELECTION COMM,Active (Non-Exempt),,
STA-R7L479-C-001,COMM TO ELECT JOHN LEWIS,Inactive,,
STA-36T1L7-C-002,COMM TO ELECT CHAD MITCHELL,Inactive,,
STA-396HA8-C-001,CLIFF MOONE 4 NC HOUSE,Closed (Pending),,
STA-ZJ90NC-C-001,CITIZENS FOR MOORE,Closed,,
STA-C3132N-C-001,COMM TO ELECT RON MOORE DA,Closed (Pending),,
STA-C0553N-C-002,TONY MOORE FOR SENATE,Closed,,
STA-355WN6-C-001,JOEL MCCLOSKY,Conditionally Closed,,
STA-3ZG4I4-C-001,VOTEDUSTIN.ORG (DUSTIN MCCRARY),Closed,,
STA-7IKD0S-C-001,COMM TO ELECT BOBBY E MCCROSKEY,Conditionally Closed,,
STA-X509XD-C-001,FRIENDS OF ANNE MIDDLETON,Active (Non-Exempt),,
STA-C0642N-C-001,BRAD MILLER CAMPAIGN COMM,Inactive,,
STA-N12U0O-C-001,FRANK MITCHELL COMM,Closed,,
STA-615M13-C-001,MOORE FOR NORTH CAROLINA,Conditionally Closed,,
STA-553RZC-C-001,COMM TO ELECT MORSE,Conditionally Closed,,
STA-8YRCN2-C-001,GEORGE MURPHY FOR DA,Closed,,
STA-CQ7K6D-C-002,GREG MUSE FOR STATE SENATE,Inactive,,
STA-E0SLS3-C-001,COMM TO ELECT WIL NEUMANN,Closed,,
STA-L23JZU-C-001,MELISSA D PELFREY FOR DA,Closed (Pending),,
STA-94Q9SB-C-001,ELIZABETH FOR NC SENATE COMM,Inactive,,
STA-XYXGJL-C-001,COMMITTEE TO ELECT BILL ROGERS,Closed (Pending),,
STA-N9UF35-C-001,REECE SAUNDERS FOR DA,Closed,,
STA-843215-C-001,COMM TO ELECT JACQUELINE SCHAFFER,Closed (Pending),,
STA-76979X-C-001,COMM TO ELECT DOUGLAS A SMITH DIST CT JUDGE,Closed,,
STA-M4QSYH-C-001,PATTERSON FOR NC HOUSE,Conditionally Closed,,
STA-C0525N-C-002,COMM TO ELECT HARRY E PAYNE JR,Closed,,
STA-8J0J39-C-001,CITIZENS FOR THE PHAIR CHOICE (NICOLE PHAIR),Closed,,
STA-C0959N-C-001,PURCELL FOR NC SENATE COMM,Conditionally Closed,,
STA-95Y28F-C-001,RAMSEY FOR NC SENATE,Active (Non-Exempt),,
STA-0704JN-C-001,KIM RATLIFF CAMPAIGN,Conditionally Closed,,
STA-QV809F-C-001,COMM TO ELECT MELBA J (DODIE) REESE,Conditionally Closed,,
STA-5L74S4-C-001,REID FOR NC SENATE,Closed,,
STA-WZ41OB-C-001,COMM TO RE-ELECT WILLIAM B REINGOLD,Closed (Pending),,
STA-QP60R4-C-001,FRIENDS OF DAVID ROUZER COMM,Inactive,,
STA-1WQ37M-C-001,COMM TO ELECT SAMET JUDGE,Conditionally Closed,,
STA-ONKD76-C-001,SARTAIN FOR HOUSE,Conditionally Closed,,
STA-C0759N-C-003,LARRY SHAW FOR SENATE,Conditionally Closed,,
STA-W8VY6X-C-002,COMM TO ELECT JAMES SODER,Conditionally Closed,,
STA-C2869N-C-004,CITIZENS FOR R DALE STUBBS,Closed,,
STA-2P8UTT-C-001,PITT COUNTY FOR WARD (ORREN URIAH WARD II),Closed (Pending),,
STA-8H777Z-C-001,STAN WHITE CAMPAIGN,Closed (Pending),,
STA-YJ56UX-C-001,2AFETY 4 ALL (PERRY THOMPSON WHITLOCK),Closed,,
STA-B9WMN9-C-001,GEORGE TATUM CAMPAIGN FUND,Closed,,
STA-91YGCP-C-001,COMM TO ELECT GREG TAYLOR,Closed,,
STA-3VJ904-C-002,COMM TO ELECT JUDGE THIGPEN,Closed,,
STA-Q0YTD9-C-001,COMM TO ELECT THOM TILLIS,Active (Non-Exempt),,
STA-C1549N-C-001,JOE P TOLSON FOR HOUSE,Closed,,
STA-D425BW-C-001,COMM TO ELECT MICHAEL ALAN VADINI,Closed,,
STA-7OKCVL-C-001,MICHAEL P WALTERS FOR NC SENATE,Closed,,
STA-6364S6-C-001,COMM TO ELECT SHERRYL WEST,Closed,,
STA-AW906U-C-001,COMM TO ELECT ROY WIGGINS,Conditionally Closed,,
STA-6266Q4-C-001,WILKINS FOR HOUSE CAMPAIGN COMM,Closed,,
STA-TK778H-C-001,LANE WILLIAMSON FOR JUDGE COMM,Closed,,
STA-SX1Z75-C-001,RANDY WOLFE NC HOUSE COMM ,Inactive,,
STA-C1235N-C-001,DOUGLAS Y YONGUE CAMPAIGN,Closed,,
STA-H5T633-C-002,ROD WRIGHT FOR JUDGE COMM,Conditionally Closed,,
STA-7WKGO4-C-001,WAKE RBF,Closed (Pending),,
STA-35637B-C-001,BOOST HICKORY,Closed,,
STA-C4361N-C-001,HIGH POINT RW,Closed (Pending),,
STA-E1WL1S-C-001,SWANSTROM CAMPAIGN COMM,Closed,,
STA-CF3650-C-001,NC INDEPENDENT FINANCE ASSN PAC,Closed,,
STA-OW85H0-C-001,NC INDEPENDENT FINANCE ASSN PAC,Closed,,
STA-405MT6-C-001,MARY LOPEZ CAMPAIGN,Closed,,
STA-LDUHOI-C-001,JOUBERT FOR NC SENATE,Inactive,,
STA-C0523N-C-004,BROOKS CAMPAIGN COMM,Closed (Pending),,
STA-C7638F-C-001,COMM TO ELECT BRIDGETTE ODOM,Closed (Pending),,
FED-3C182L-C-001,WAKE CTY DEM FED CAMPAIGN,Closed (Pending),,
STA-T77T50-C-002,MAJOR FOR NC SENATE,Closed,,
STA-C3727N-C-001,NC RIGHT TO LIFE STATE PAC,Active (Non-Exempt),,
STA-C3777N-C-001,FAIRMONT COMM ON BLACK AFFAIRS,Active (Non-Exempt),,
STA-S3OV7P-C-001,COMM TO ELECT SHARON HUDSON,Closed,,
STA-J56466-C-002,THE JUDGE ARROWOOD COMMITTEE,Closed,,
STA-36UTCJ-C-001,LIBERTY TREE NC,Closed,,
STA-R5T563-C-001,BETSY JORDAN CAMPAIGN COMMITTEE,Conditionally Closed,,
STA-3433OY-C-001,ELECT HANCOCK,Conditionally Closed,,
STA-9YC7WZ-C-001,COMM TO ELECT RB (RUSTY) HOLDERNESS,Closed,,
STA-KM2671-C-001,THE ERIK ANDERSON COMM,Closed (Pending),,
STA-512X36-C-001,DAVIS FOR STATE SENATE (THOMAS CHARLES DAVIS),Closed,,
STA-H3F77S-C-001,JEFF CRUDEN FOR DISTRICT ATTORNEY,Closed,,
STA-X4BUW7-C-001,CRAVEN FORT TOTTEN PD N2,Closed,,
STA-ZLC8A7-C-001,Haywood LEC,Active (Exempt),,
STA-L3MOAL-C-001,MIKE EDWARDS FOR NC HOUSE D120,Terminated,,
STA-N1VX0X-C-001,SABRA JEAN FAIRES COMM,Closed,,
STA-B2ZG30-C-001,ELECT MARTY MARTIN JUDGE,Closed,,
STA-L5G739-C-002,ELECT GENE MAHAFFEY,Closed,,
STA-C0498N-C-001,THE COOPER COMM,Closed,,
STA-C3264N-C-001,BUNCOMBE CTY MEDICAL SOCIETY PAC,Terminated,,
STA-C0727N-C-002,DON VAUGHAN FOR SENATE COMM,Closed (Pending),,
STA-C2681N-C-003,JUDGE ROBERSON CAMPAIGN,Conditionally Closed,,
STA-4916W2-C-001,NEWSOME FOR COURT OF APPEALS,Closed,,
STA-0X0XD5-C-001,COMM TO ELECT ALEX DAWSON III,Closed,,
STA-4KOHYF-C-002,CHAMPION FOR SUPERIOR COURT JUDGE,Closed,,
STA-DT3Z37-C-001,BETSY BUNTING FOR NC COURT OF APPEALS,Closed,,
STA-8GK0AX-C-001,KIRBY FOR COURT OF APPEALS,Closed,,
STA-SH9NRI-C-001,MELANIE FOR DA,Closed (Pending),,
STA-DG820B-C-001,CHRIS WHITMIRE FOR NC HOUSE,Closed,,
STA-090AH8-C-001,COMM TO ELECT RONALD J WEATHERFORD,Terminated,,
STA-446LA9-C-001,WESTERN CAROLINA ENT PAC,Closed,,
STA-U8QH65-C-001,DONAHUE FOR NC COURT OF APPEALS,Conditionally Closed,,
STA-C3780N-C-001,SCOTLAND CTY UNITY COALITION,Inactive,,
STA-E9GXYT-C-002,BRUCE DAVIS FOR NC SENATE,Closed,,
STA-KQGICV-C-001,ROBESON RW,Active (Non-Exempt),,
STA-63YQ21-C-001,BEVERLY COLLINS-HALL FOR NC SENATE,Closed,,
STA-N241X2-C-001,ELECT TRICIA SHIELDS COMM,Closed,,
STA-0600V7-C-001,CAPE FEAR CONSERVATIVES,Closed (Pending),,
STA-C3137N-C-002,CITIZENS TO RE-ELECT MIKE BONFOEY DA,Closed,,
STA-C3571N-C-001,PAC FOR MENTAL HEALTH DEVELOPMENT DISABILITIES & SUBSTANCE ABUSE,Closed (Pending),,
STA-C2290N-C-001,TYSON FOR COURT COMM,Active (Non-Exempt),,
STA-OXT155-C-001,BRYAN HOLLOWAY FOR NC HOUSE,Inactive,,
STA-85WTC0-C-001,CITIZENS FOR A BETTER JUDICIARY,Closed (Pending),,
STA-1628Q1-C-001,COMM TO ELECT DON MIAL,Inactive,,
STA-003J9L-C-001,TAR RIVER RW,Closed,,
STA-3HUJ72-C-001,COMM TO ELECT TROYER,Closed,,
STA-C0483N-C-002,BOB ETHERIDGE FOR GOVERNOR,Inactive,,
STA-C3329N-C-001,APAC INC/OLDCASTLE MATERIALS INC NC PAC,Closed (Pending),,
FED-C4604N-C-001,TENET HEALTHCARE CORP PAC,Closed (Pending),,
STA-V2G592-C-001,SAVE OUR STATE  NC CORP,Closed (Pending),,
STA-C3874N-C-001,CURRITUCK DEC,Active (Non-Exempt),,
STA-9BZ8OA-C-001,CAMPAIGN TO ELECT FRANK WILLIS,Closed,,
STA-8744X5-C-001,COMM TO ELECT ERIN GRABER,Active (Non-Exempt),,
STA-AFYJ03-C-001,COMM TO ELECT JOHN W BOWERS,Closed,,
STA-XOIPCT-C-001,FRIENDS OF LYNETTE RINKER,Inactive,,
STA-C3415N-C-001,TOURISM PAC,Closed (Pending),,
STA-48I13A-C-001,COMM TO ELECT WINFREE,Closed,,
STA-85YSFS-C-001,PROGRESSIVE DEMOCRATS OF NC PAC,Closed,,
STA-C3768N-C-001,WAKE CTY VOTER EDU COALITION,Terminated,,
STA-IX48GY-C-001,COMMITTEE TO ELECT BRITT BINGHAM SPRINGER DA,Closed (Pending),,
STA-A8L2SQ-C-001,COMM TO ELECT ALICIA D BROOKS,Closed,,
STA-W47O35-C-001,HARNETT YR,Closed,,
STA-YI2EKH-C-001,JUANITA BOGER-ALLEN FOR JUDGE,Closed (Pending),,
STA-C1886N-C-001,COMM TO ELECT MICHAEL STONE NC HOUSE,Closed,,
STA-4KEDV3-C-001,NC CONSERVATIVE VOICE PAC,Closed (Pending),,
FED-0U4RTF-C-001,KISSELL FOR CONGRESS,Closed,,
STA-7S7AJ2-C-001,COMM TO ELECT TARO KNIGHT,Closed,,
STA-BHB6HZ-C-001,KEN WADDELL FOR STATE HOUSE,Closed,,
FED-H45U9U-C-001,COMPUTER SCIENCES CORP PAC,Closed (Pending),,
STA-C4505N-C-001,NEW HANOVER LEC,Closed (Pending),,
STA-C3413N-C-001,NC TROOPERS ASSN PAC,Conditionally Closed,,
FED-C4619N-C-001,BLUE CROSS & BLUE SHIELD OF NC EMPL PAC FED,Active (Non-Exempt),,
STA-9V1S50-C-001,COMM TO ELECT DEAN HICKS,Closed,,
STA-A871XC-C-001,COMM TO ELECT CLARK (JAMES CLARK),Conditionally Closed,,
STA-5XONNH-C-002,COMMITTEE TO ELECT KEN FORTENBERRY,Closed (Pending),,
STA-KS3R28-C-001,CARL PARRISH COMM,Closed,,
STA-UX9718-C-001,GREENWAY FOR DA COMM,Closed,,
STA-143K52-C-001,COMMITTEE TO ELECT ASHLEY BLEAU FOR NC HOUSE,Closed,,
STA-PAJR9D-C-001,FLOWERING DOGWOOD,Closed,,
STA-C3847N-C-001,NC DEC PPFF & PEYC,Closed,,
STA-6BKZU0-C-003,COMM TO ELECT JAMES B CATES,Closed,Closed (Pending),
FED-92E6MX-C-001,"ALLCARE CLINICAL ASSOC, PA ANESTHESIA WNC PAC",Closed (Pending),,
STA-DS4X1I-C-001,JIM MESSINA CAMPAIGN,Closed,,
STA-L04O6D-C-001,NANCY LAMB FOR DA,Closed,,
STA-O2B067-C-001,COMMITTEE TO ELECT AARON LEE LITTLEFIELD,Closed,,
STA-C4301N-C-001,LINCOLN RM,Active (Non-Exempt),,
STA-M2C02T-C-001,APPALACHIAN RW,Conditionally Closed,,
STA-IJ787Y-C-001,THE GEORGE ROUCO COMM,Closed,,
FED-AP4I02-C-001,KBR INC PAC,Closed,,
STA-07OVEJ-C-001,ENC AG ALLIANCE,Active (Non-Exempt),,
STA-6H3WL0-C-001,TOGETHER CAROLINA ,Inactive,,
STA-379K61-C-002,COMM TO RE-ELECT JUDGE KEITH O'BRIEN GREGORY,Closed,,
STA-C4126N-C-001,ALAMANCE SD,Active (Non-Exempt),,
STA-HO978C-C-001,RACHEL LEA HUNTER FOR SUPREME CT,Conditionally Closed,,
STA-H5S9Y5-C-001,RUTHERFORD DW,Conditionally Closed,,
STA-80HYM2-C-001,BRALLEY FOR NC HOUSE,Closed,,
FED-53999W-C-001,AECOM US FEDERAL PAC,Closed (Pending),,
STA-9TAJWK-C-001,AFRICAN AMERICAN CAUCUS NC,Closed,,
STA-F7FR55-C-001,RICK SMITH FOR NC HOUSE,Closed,,
STA-C1322N-C-001,ALMA ADAMS CAMPAIGN,Closed,,
STA-MTYA20-C-001,CITIZENS TO ELECT MARTIN ARAGONA JR,Inactive,,
STA-A871XC-C-002,COMM TO ELECT JAMES CLARK,Closed,,
STA-C3351N-C-001,ELECTRICITIES OF NC PUBLIC POWER PAC,Active (Non-Exempt),,
STA-0SX03J-C-001,MATT ARNOLD FOR STATE SENATE,Inactive,,
STA-62760T-C-001,DURHAM - ORANGE LEC,Active (Exempt),,
FED-3SZ6HM-C-001,ORGANIZE ONSLOW,Terminated,,
FED-KHH0ED-C-001,RITE AID PAC,Closed (Pending),,
STA-C4267N-C-001,ROCKINGHAM REC,Active (Non-Exempt),,
STA-Z881KG-C-001,UNION RM CLUB IE INC,Inactive,,
STA-0321EA-C-001,BEAUFORT CTY REP CLUB ,Closed (Pending),,
STA-D6NQWU-C-001,WILKES JOBS CABIN PD,Closed,,
STA-2K06WM-C-001,BURKE DM,Closed (Pending),,
STA-5GO09R-C-001,DEBRA GOLDMAN COMM,Inactive,,
STA-96LN47-C-001,ELECT PAUL MEINHART,Closed (Pending),,
STA-ZK79Z4-C-001,TRIANGLE ANESTHESIA PAC,Active (Non-Exempt),,
STA-C3898N-C-001,JONES DEC,Active (Exempt),,
STA-C0429N-C-003,ANSLEY FOR AGRICULTURE COMMISSIONER,Inactive,,
STA-6276CJ-C-001,RALPH JOHNSON FOR NC HOUSE 58,Closed,,
STA-C3968N-C-001,WAYNE DM,Active (Non-Exempt),,
STA-8KCZAB-C-001,COMM TO ELECT LULA CRENSHAW,Closed,,
STA-81376J-C-001,GARRITY-BLAKE CAMPAIGN,Closed,,
STA-3BY11X-C-001,SAMPSON YR,Closed (Pending),,
STA-C3315N-C-001,LAB CORP OF AMERICA HOLDINGS GOOD GOVT COMM NC,Closed,,
STA-C4121N-C-001,NC FED OF CD,Closed,,
STA-941Q8X-C-001,TY TURNER FOR NC SENATE 40,Closed,,
FED-B7XCMH-C-001,NEXT CENTURY FUND,Closed (Pending),,
STA-T93YV5-C-001,BOBI GREGORY FOR NC HOUSE,Closed (Pending),,
STA-37TELY-C-002,THOMAS EDWARD ELLIS II FOR NC HOUSE,Conditionally Closed,,
FED-94QL4B-C-001,FAIRWAY OUTDOOR ADVERTISING LLC POLITICAL ACTION COMMITTEE,Closed,,
STA-NQG35U-C-001,AUCTIONEERS ASSN OF NC PAC,Closed (Pending),,
STA-4OSHHP-C-001,FRIENDS OF MICHAEL GARRETT,Closed,Active (Non-Exempt),
FED-PHFJBE-C-001,"ROGERS GROUP INC, POLITICAL ACTION COMMITTEE",Active (Non-Exempt),,
STA-C3853N-C-001,ANSON DEC,Active (Exempt),,
